Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5
1999,1,ARI,PHI,2,0.15336153211765,0.324919268295236,0.203512947346813,0.151054436455328,0.167151815784973,2,0.167034797108071,0.325591808131461,0.153094315237457,0.203625909907597,0.150653169615415
1999,1,BUF,IND,1,0.532504568024548,0.0393077619492361,0.0686957644843475,0.214304610018787,0.145187295523081,3,0.144875819059603,0.039161743773564,0.531933562476684,0.0685150139420649,0.215513860748084
1999,1,CAR,NO,5,0.264650135673711,0.0739924825852706,0.153527762348343,0.183666686312096,0.324162933080579,1,0.325852152124454,0.07327688121587,0.265335910742973,0.152383627519266,0.183151428397437
1999,1,CIN,TEN,2,0.12492801064644,0.392941112425363,0.215597855100362,0.119261151784406,0.147271870043429,2,0.146604502156359,0.395856771300125,0.12451168453404,0.214049490806863,0.118977551202614
1999,1,DAL,WAS,2,0.141649850073709,0.363719168136643,0.198495282507992,0.139606387649654,0.156529311632002,2,0.156268515312261,0.364909111895966,0.141239447006786,0.19851938625316,0.139063539531826
1999,1,DET,SEA,4,0.306327566959471,0.0458468430239781,0.0761536029606789,0.433669907679833,0.138002079376039,5,0.1381969428935,0.0456930364018031,0.3071966102493,0.076074248799532,0.432839161655864
1999,1,KC,CHI,1,0.310324519879424,0.0690160070750198,0.131916279235757,0.220116635643807,0.268626558165991,3,0.269814622950604,0.0688333941659092,0.309744179048154,0.131983156901969,0.219624646933364
1999,1,MIA,DEN,5,0.205519750119471,0.111751186661081,0.232086449033662,0.161975139546536,0.28866747463925,1,0.289809086226613,0.111237917383759,0.205192962226471,0.23228261031536,0.161477423847796
1999,1,MIN,ATL,5,0.256622337612042,0.0630891524293782,0.135866897924708,0.147303764390826,0.397117847643046,1,0.397313853325297,0.0627864433896942,0.257081335773834,0.135297727357797,0.147520640153378
1999,1,NE,NYJ,2,0.114291584850309,0.343712344439396,0.290762780191432,0.101991150891823,0.14924213962704,2,0.1494133770706,0.341346522115814,0.114159094668508,0.293315983047912,0.101765023097167
1999,1,NYG,TB,3,0.10678722048463,0.167388805650397,0.480553726938688,0.0902357566183309,0.155034490307954,4,0.155088928813378,0.165292836330622,0.106572877185331,0.483067363732377,0.0899779939382921
1999,1,OAK,GB,2,0.0830530086033749,0.590581357228763,0.149295827712986,0.0782876938499387,0.0987821126049372,2,0.102117925434391,0.577409441879381,0.0861169714786182,0.153005454624092,0.0813502065835166
1999,1,PIT,CLE,4,0.290265819570839,0.0536610942969623,0.0868269740924084,0.419230941257018,0.150015170782772,5,0.149132390160666,0.0530759569036572,0.290274072965553,0.0860636387412903,0.421453941228833
1999,1,SF,JAX,1,0.344126687308066,0.0581074659821441,0.114132937072311,0.164965062931529,0.31866784670595,3,0.317092764816917,0.0577098785900016,0.346483232253164,0.113368659799784,0.165345464540133
1999,2,ARI,MIA,3,0.107942785780235,0.0975147265132766,0.52537749211068,0.0848585026119451,0.184306492983864,4,0.185660518640804,0.0976633575139384,0.108571379567406,0.522747385433411,0.0853573588444416
1999,2,ATL,DAL,4,0.193932896696713,0.0309718303128068,0.0497766859732029,0.638572154061929,0.086746432955348,5,0.0858231315280043,0.0305517768585966,0.191286259569991,0.049199270052537,0.643139561990871
1999,2,CLE,TEN,1,0.381614276220641,0.0437980107734397,0.0739466082204225,0.358915379499297,0.1417257252862,3,0.140907704817061,0.0434164920242595,0.381405634075016,0.0734057737256755,0.360864395357988
1999,2,DEN,KC,5,0.212268393430861,0.0579300308005649,0.13208661909015,0.125271334400299,0.472443622278125,1,0.469042835517986,0.0585753085646275,0.211994107022105,0.134003021195272,0.126384727700008
1999,2,GB,DET,1,0.40933769588258,0.0521987784794987,0.0999226946529344,0.18975484323986,0.248785987745127,3,0.248999483593558,0.0520375542057671,0.409117519593762,0.0997729867027916,0.190072455904121
1999,2,IND,NE,2,0.148715405326947,0.339810039959712,0.202161296773,0.146038215243972,0.16327504269637,2,0.163014895432285,0.341044944900687,0.148281782031894,0.202208740238974,0.145449637396159
1999,2,JAX,CAR,2,0.1081916049368,0.392426180699813,0.262739326302448,0.0979553909745017,0.138687497086437,2,0.13770688531834,0.397438743934733,0.10753783923809,0.259853408458842,0.0974631230499951
1999,2,NO,SF,2,0.105265704302967,0.500036884073938,0.172046215346162,0.100776473175406,0.121874723101527,2,0.122130092649273,0.499076902743975,0.105442876235586,0.172428947301904,0.100921181069262
1999,2,NYJ,BUF,5,0.269564610927305,0.0633598592248897,0.131446662476327,0.148192406423589,0.387436460947889,1,0.385725786369486,0.0630627402379787,0.271829893219042,0.13061050737494,0.148771072798553
1999,2,OAK,MIN,3,0.120956804758982,0.184516995341342,0.418446748551623,0.102555535657368,0.173523915690685,4,0.173312095851638,0.182648309726258,0.120473365538083,0.4215272175114,0.102039011372621
1999,2,PIT,BAL,5,0.159118064700762,0.0856588537813352,0.272812874372521,0.110881257669164,0.371528949476218,1,0.373258831479431,0.085458775384985,0.159791788405085,0.270179824063617,0.111310780666882
1999,2,SD,CIN,1,0.374641445117423,0.0559254296326543,0.0958037254172989,0.288809627575466,0.184819772257158,3,0.186380235678882,0.0562360133877365,0.371827976906866,0.0965781119944807,0.288977662032035
1999,2,SEA,CHI,2,0.118330719898983,0.448840797017016,0.183979251001327,0.113534656545094,0.13531457553758,2,0.1366404341398,0.443705981638389,0.119607079202716,0.185207164830573,0.114839340188523
1999,2,TB,PHI,1,0.442023199034351,0.0482948483546083,0.092513855020771,0.161836281856515,0.255331815733754,3,0.252693184817128,0.0478816918907898,0.44562230132808,0.0917152292376078,0.162087592726394
1999,2,WAS,NYG,4,0.223846483682634,0.0619397979263773,0.0938758534529156,0.478127772967381,0.142210091970692,5,0.142489241360918,0.0617747923885677,0.224349133842143,0.09387978410154,0.477507048306831
1999,3,ATL,STL,4,0.239720512495596,0.0884133811290027,0.128473493242364,0.365617288809306,0.177775324323731,5,0.177929348458141,0.0879194346699197,0.240107187486526,0.128239643849632,0.365804385535782
1999,3,CHI,OAK,3,0.115511715481625,0.116645569139443,0.490929549147947,0.0941630449181454,0.18275012131284,4,0.182289653367304,0.115733324095731,0.114964821543203,0.493306822582288,0.093705378411475
1999,3,CIN,CAR,4,0.227653361527515,0.0475023325600051,0.0758416951283924,0.523320856523502,0.125681754260586,5,0.125332234736687,0.0470753318097842,0.228013666056188,0.0753714186384384,0.524207348758902
1999,3,CLE,BAL,1,0.488174598577929,0.0397177453085104,0.0691068744192544,0.260936172399552,0.142064609294754,3,0.141893958361555,0.0395422915842383,0.488240386263641,0.0689113561322945,0.261412007658271
1999,3,DEN,TB,5,0.194321281299483,0.0669036307085445,0.161983271158745,0.121891269337113,0.454900547496114,1,0.454188685994435,0.0667002276566145,0.195572531532221,0.160965135629704,0.122573419187027
1999,3,DET,KC,1,0.552640128189339,0.0352101675189143,0.061276133876234,0.222325775955452,0.12854779446006,3,0.12859505813112,0.0351065957284953,0.552084273560224,0.061196401804752,0.22301767077541
1999,3,IND,SD,2,0.0756969898166371,0.624182372587665,0.13862144641468,0.070909864338218,0.0905893268428003,2,0.089369482648859,0.629066554165317,0.0745346739026142,0.137293711616906,0.0697355776663033
1999,3,MIN,GB,3,0.112288654005665,0.26422919555428,0.372313596270818,0.0971967641263588,0.153971790042878,4,0.152458431583443,0.277122757096267,0.111838631434682,0.361335991586674,0.0972441882989339
1999,3,NYG,NE,3,0.147671233368136,0.109059157829773,0.36482905509988,0.111214674903141,0.267225878799069,4,0.271193304991844,0.108386128643776,0.148842736643778,0.359794863984587,0.111782965736015
1999,3,PHI,BUF,4,0.197904947831416,0.053625244938811,0.08039653561322,0.546336651722738,0.121736619893815,5,0.121602372398755,0.0532661434783165,0.198128655097983,0.0800937633119563,0.546909065712989
1999,3,SEA,PIT,4,0.229064169486154,0.0900227973141737,0.125982540941069,0.385561293464144,0.169369198794459,5,0.169411522034906,0.0894735795941826,0.229406155887971,0.125687894575709,0.386020847907231
1999,3,SF,ARI,1,0.334460337810517,0.0602877788072666,0.106211447063649,0.298843924155267,0.2001965121633,3,0.199891645371027,0.0598648093732925,0.335329543991816,0.105686169963714,0.29922783130015
1999,3,TEN,JAX,2,0.0772579136680502,0.620651735859916,0.137676048241499,0.0726091666362969,0.0918051355942383,2,0.0922006373059303,0.619089962230296,0.0775653244450105,0.138255504925306,0.0728885710934575
1999,3,WAS,NYJ,2,0.0883016487320857,0.537071744764227,0.184080168825022,0.0809479010602834,0.109598536618382,2,0.109922439425479,0.535168701776046,0.0883665156387442,0.185634541691551,0.0809078014681794
1999,4,ARI,DAL,4,0.229634285624677,0.0860029893692218,0.122648264823135,0.393992268307042,0.167722191875924,5,0.167767781109323,0.0854604065345204,0.230001604106178,0.122342080552873,0.394428127697106
1999,4,BAL,ATL,2,0.0696783189348124,0.64839352086125,0.132762595245492,0.0649887063674372,0.0841768585910086,2,0.0832206336373063,0.652373802596319,0.0688640776099079,0.131303218758829,0.0642382673976374
1999,4,BUF,MIA,3,0.139403041479719,0.0940565460597126,0.380962318658252,0.102301011032129,0.283277082770187,4,0.28554920558309,0.0939693336304254,0.140129034207645,0.377534449272246,0.102817977306593
1999,4,CAR,WAS,3,0.137449449116409,0.264944275412829,0.297146059715477,0.12344002095621,0.177020194799076,4,0.176349328508645,0.266923404625992,0.136898573640522,0.296844865687017,0.122983827537824
1999,4,JAX,PIT,5,0.277826043639875,0.0543719796337388,0.114298405343018,0.134961291132156,0.418542280251211,1,0.413326715595856,0.0545936215230988,0.280989915664251,0.114544781618016,0.136544965598778
1999,4,KC,SD,3,0.142027348199477,0.187354435245946,0.351406793201741,0.121186337931589,0.198025085421246,4,0.197609437744484,0.187247277627232,0.141532734912064,0.352843305632019,0.120767244084202
1999,4,NE,CLE,3,0.148555086216955,0.114018980772338,0.366242248133087,0.114371383792018,0.256812301085601,4,0.258915754835843,0.113255291447121,0.148900480203644,0.364510479842594,0.114417993670798
1999,4,NO,CHI,2,0.133182354411982,0.394091042738605,0.193968260212382,0.129587403661728,0.149170938975303,2,0.151113759284351,0.386520393376473,0.135233688077408,0.195341376959963,0.131790782301805
1999,4,NYJ,DEN,2,0.074845335472016,0.611361854431368,0.152707093699028,0.0688673044285402,0.0922184119690485,2,0.0930990123798249,0.607322707818926,0.0754011659328022,0.154886122666264,0.0692909912021827
