Year,Game Number,Home Team,Away Team,L_2 Cluster_5,H_1 Cluster_5,L_2 Cluster_10,H_1 Cluster_10,L_2 Cluster_20,H_1 Cluster_20
1999,11,NE,MIA,2,3,6,4,13,9
1999,11,NO,JAX,2,4,5,8,11,13
1999,11,NYG,WAS,2,4,5,8,11,14
1999,11,OAK,DEN,3,2,1,6,18,15
1999,11,PIT,TEN,2,4,5,8,11,13
1999,11,SEA,KC,3,3,7,3,3,18
1999,11,STL,SF,2,3,5,4,10,9
1999,12,ARI,NYG,2,3,6,4,13,9
1999,12,ATL,CAR,2,4,5,8,11,13
1999,12,CHI,DET,2,4,5,8,11,14
1999,12,CIN,PIT,2,4,5,8,11,14
1999,12,GB,SF,2,4,5,8,11,13
1999,12,JAX,BAL,5,5,8,10,2,12
1999,12,KC,OAK,5,1,4,2,5,7
1999,12,MIA,DAL,2,3,6,4,13,9
1999,12,NE,BUF,2,4,5,8,11,14
1999,12,NO,STL,2,4,5,8,11,13
1999,12,NYJ,IND,2,3,6,4,13,9
1999,12,PHI,WAS,1,4,9,8,15,14
1999,12,SD,MIN,2,3,5,4,10,2
1999,12,TB,SEA,2,3,6,3,13,18
1999,12,TEN,CLE,3,3,7,4,3,1
1999,13,CLE,SD,2,4,6,8,13,13
1999,13,DAL,NE,2,3,6,4,13,9
1999,13,GB,CHI,3,2,7,6,3,16
1999,13,IND,MIA,2,3,6,4,14,8
1999,13,KC,DEN,3,2,2,5,8,10
1999,13,MIN,TB,2,3,6,4,14,8
1999,13,NO,ATL,1,4,9,8,15,14
1999,13,NYJ,NYG,1,4,9,7,16,19
1999,13,PHI,ARI,5,5,8,10,1,11
1999,13,PIT,JAX,3,3,7,4,3,9
1999,13,SEA,OAK,2,4,5,8,11,14
1999,13,SF,CIN,1,4,9,8,15,14
1999,13,STL,CAR,1,4,9,8,15,14
1999,13,TEN,BAL,2,4,5,8,11,13
1999,13,WAS,DET,2,3,6,4,13,9
1999,14,ARI,WAS,1,4,9,8,16,14
