2001_03_MIA_STL
2003_07_NO_ATL
2003_19_TEN_NE
2004_02_SF_NO
2004_04_NO_ARI
2004_05_CAR_DEN
2004_07_SD_CAR
2004_09_OAK_CAR
2004_10_HOU_IND
2004_16_HOU_JAX
2005_01_HOU_BUF
2005_05_NE_ATL
2005_05_TB_NYJ
2005_08_GB_CIN
2005_09_CIN_BAL
2005_09_PIT_GB
2006_01_MIN_WAS
2006_03_WAS_HOU
2006_04_DAL_TEN
2006_09_MIA_CHI
2006_20_NO_CHI
2007_01_BAL_CIN
2007_07_STL_SEA
2007_10_STL_NO
2008_08_ATL_PHI
2008_11_MIN_TB
2009_13_DAL_NYG
2010_06_SEA_CHI
2010_10_KC_DEN
2010_11_NYG_PHI
2011_01_NE_MIA
2011_02_SD_NE
2011_12_MIA_DAL
2011_13_DAL_ARI
2011_15_NE_DEN
2012_03_DET_TEN
2013_02_TEN_HOU
2014_07_ARI_OAK
2014_08_GB_NO
2015_03_TB_HOU
2016_08_PHI_DAL
2016_18_MIA_PIT
2019_17_TEN_HOU
2020_04_CLE_DAL
