Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,L_2 Cluster Probability_6,L_2 Cluster Probability_7,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5,H_1 Cluster Probability_6,H_1 Cluster Probability_7,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.165860275221217,0.257946014416383,0.110143810494184,0.10697517141628,0.107273073047049,0.118193154450066,0.133608500954821,2,0.166174402753521,0.25893286809109,0.133552489566106,0.117981603536081,0.106627685871475,0.106840311569147,0.109890638612581,0.432956442135146,0.434130285323046
1999,1,BUF,IND,4,0.0400204137080078,0.0273025628178652,0.27303741673711,0.357946905822403,0.130995734140777,0.108773823973116,0.0619231428007215,5,0.0398134093790313,0.0271552036484931,0.061678308521927,0.108460833076536,0.360384436391146,0.131829504677892,0.270678304304974,0.205671063629054,0.208253020848684
1999,1,CAR,NO,6,0.0797730668958938,0.0487626973222566,0.213131489851989,0.159991732120175,0.122590872693933,0.234055538928041,0.141694602187712,4,0.0789033073782684,0.0482284839911212,0.140783425977204,0.235195334729966,0.159964130903298,0.122275347794876,0.214649969225266,0.00253108975535662,-7.13619835943812e-05
1999,1,CIN,TEN,2,0.21369104788895,0.261536160255077,0.0962547151560695,0.0904788775180816,0.0891686415929829,0.109907505174268,0.138963052414572,2,0.212474795143984,0.2651793390235,0.138147592641414,0.109308796021175,0.0901257386579679,0.0888875521603952,0.0958761863515641,-0.0267387617543452,-0.00373014117283626
1999,1,DAL,WAS,2,0.160676603939342,0.415279764881043,0.0787629613740002,0.0746963160032646,0.07376692314416,0.0883909611352754,0.108426469522915,2,0.160703215890532,0.41725149859656,0.10810097182058,0.0879839006371414,0.0742674074640235,0.0733071872614769,0.0783858183296853,0.480146322062945,0.481266077403625
1999,1,DET,SEA,4,0.0447670305025487,0.03132751806037,0.178220961949147,0.329183172223049,0.250235669162665,0.100963942152259,0.0653017059499606,5,0.0446122122563631,0.0311800549188646,0.0652220292956744,0.10107074555054,0.32888455544925,0.250701860213716,0.178328542315592,0.206704131894414,0.206161337670977
1999,1,KC,CHI,3,0.0710434866538475,0.0453980329072818,0.235629507747004,0.195185486548445,0.145298171509232,0.191500800297572,0.115944514336618,7,0.0708404667349591,0.0452071025221675,0.116049197802321,0.192247608950419,0.1945534105636,0.145150477089866,0.235951736336667,0.103470014590372,0.10698596706319
1999,1,MIA,DEN,6,0.121262220186263,0.0731439264956969,0.1590562317887,0.132306981351005,0.111737707674915,0.206255601787011,0.19623733071641,4,0.120844293327661,0.0726824026300013,0.196702534543258,0.20713894235827,0.131996818268188,0.111424038616405,0.159210970256216,0.0799554156608063,0.0798545793802084
1999,1,MIN,ATL,6,0.0692012806808047,0.0417281677808634,0.230447903937145,0.14399277008358,0.0984353440779716,0.285587342538129,0.130607190901506,4,0.0686782276582369,0.0414405362361238,0.12985025108034,0.285524571879945,0.144158451514404,0.0985971723765759,0.231750789254374,0.0295667664726088,0.0262843202004283
1999,1,NE,NYJ,1,0.337935386294214,0.180781466214036,0.0827239989988661,0.0742173833050462,0.0693226519969126,0.102689094707427,0.152330018483498,1,0.344300791754967,0.177347431571485,0.152160898027255,0.101999076443705,0.0735041401893067,0.0686099429768447,0.0820777190364367,0.431141790762096,0.433352006929552
