Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.411673638820992,0.588326361179008,2,0.410719146087402,0.589280853912598,0.357603011285541,0.359754978701254
1999,1,BUF,IND,1,0.886271534060482,0.113728465939518,1,0.88696937204028,0.11303062795972,0.735039929017455,0.736036567167437
1999,1,CAR,NO,1,0.663712442289542,0.336287557710458,1,0.666449566842486,0.333550433157514,0.526991828307509,0.530827217336376
1999,1,CIN,TEN,2,0.326562236780185,0.673437763219815,2,0.327294188152671,0.672705811847328,0.445114721141726,0.446860185631117
1999,1,DAL,WAS,2,0.35065450258427,0.649345497415731,2,0.349683162148447,0.650316837851553,0.485233949909709,0.486835712733537
1999,1,DET,SEA,1,0.861542774761859,0.138457225238141,1,0.862186554293305,0.137813445706695,0.723665291673299,0.724477405889579
1999,1,KC,CHI,1,0.738715608252714,0.261284391747286,1,0.738677037784828,0.261322962215172,0.60430751860536,0.604764728052522
1999,1,MIA,DEN,2,0.495542099134903,0.504457900865097,2,0.495925091314357,0.504074908685643,-0.22884426414019,-0.229695740874816
1999,1,MIN,ATL,1,0.672335090965086,0.327664909034914,1,0.674404802712343,0.325595197287657,0.549734796742862,0.552330351620236
1999,1,NE,NYJ,2,0.219368466028494,0.780631533971506,2,0.215981542770593,0.784018457229407,0.514561245342719,0.516346475501252
1999,1,NYG,TB,2,0.144095607651041,0.855904392348959,2,0.146167948149356,0.853832051850644,0.453268430301636,0.450802891163473
1999,1,OAK,GB,2,0.314113867073607,0.685886132926393,2,0.317252948393647,0.682747051606353,0.524051409522341,0.521388036089638
1999,1,PIT,CLE,1,0.818865303241871,0.181134696758129,1,0.82071406602094,0.17928593397906,0.699442919098742,0.701492614095558
1999,1,SF,JAX,1,0.74361008880897,0.25638991119103,1,0.746218354262072,0.253781645737928,0.631149481452556,0.633923017655813
1999,2,ARI,MIA,2,0.255540966529518,0.744459033470482,2,0.258708289572687,0.741291710427313,0.247589826680876,0.244571069975434
1999,2,ATL,DAL,1,0.852577022696304,0.147422977303696,1,0.85265368673574,0.14734631326426,0.736685826557752,0.737043240082123
1999,2,CLE,TEN,1,0.892228388033793,0.107771611966207,1,0.893179013037142,0.106820986962858,0.735447670934017,0.736807605824261
1999,2,DEN,KC,1,0.640183312343265,0.359816687656735,1,0.638373436532552,0.361626563467448,0.510681481955538,0.50771317049229
1999,2,GB,DET,1,0.813444626335214,0.186555373664786,1,0.814061418894128,0.185938581105872,0.674246988245653,0.675236411755503
1999,2,IND,NE,2,0.403865268990471,0.596134731009529,2,0.40262729035231,0.597372709647691,0.381455325810897,0.384361677444935
1999,2,JAX,CAR,2,0.227581109558736,0.772418890441264,2,0.227835438558973,0.772164561441027,0.531765514718977,0.533272889006378
1999,2,NO,SF,2,0.344047017607623,0.655952982392377,2,0.343464337629759,0.656535662370241,0.496800954033327,0.497781615571373
