Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.154527707739368,0.31995999464028,0.168538246632515,0.152292112050391,0.204681938937446,2,0.154184971401487,0.320873228323168,0.151817980096209,0.204784915680198,0.168338904498939,0.425776135254667,0.426526712336172
1999,1,BUF,IND,1,0.534270807147071,0.0398410163446682,0.144689573157542,0.212388473202973,0.0688101301477456,1,0.533823411370351,0.0396647344022641,0.213556152750781,0.0685903786072035,0.1443653228694,0.433539313651232,0.432832036933214
1999,1,CAR,NO,3,0.261922540276821,0.0753938421564376,0.326369530212761,0.181626969134942,0.154687118219038,5,0.262622634203099,0.0746311511006452,0.181188658134342,0.153506350275562,0.328051206286352,0.0498356363043836,0.0501763338001332
1999,1,CIN,TEN,2,0.126427697858241,0.385320323772047,0.149273202175567,0.120847914624665,0.218130861569481,2,0.125988330639542,0.388214209163287,0.120542958884049,0.216693893569194,0.148560607743928,0.247013481183024,0.259230979908148
1999,1,DAL,WAS,2,0.114732942812851,0.458395122814719,0.132424479026692,0.110316761713536,0.184130693632202,2,0.114359065094045,0.459654834708175,0.109892838557851,0.183994525906478,0.132098735733451,0.533125113082867,0.533635451986293
1999,1,DET,SEA,4,0.307317771405147,0.0463194614528621,0.137136475613754,0.43317726114635,0.0760490303818871,3,0.308178497270556,0.0461425469432438,0.432404241473082,0.0759512897549102,0.137323424558208,0.170116698253952,0.166663174807463
1999,1,KC,CHI,1,0.310418553217261,0.0699686029683057,0.267811587196718,0.219764095130467,0.132037161487249,1,0.309852423131792,0.0697523146763871,0.219318077329444,0.13208652774123,0.268990657121146,0.181432503842344,0.177140206740046
1999,1,MIA,DEN,3,0.204557850778406,0.114588163460995,0.287935933146773,0.161680113869632,0.231237938744193,5,0.204240123523822,0.113999055929613,0.161203634977077,0.231468685910251,0.289088499659237,0.22629590280016,0.22685793556792
1999,1,MIN,ATL,3,0.256915889546223,0.0641906776676766,0.39495342624448,0.14764555246838,0.13629445407324,5,0.257447096801604,0.0638295867945325,0.147880640699051,0.135627392180177,0.395215283524636,0.119600666261816,0.11822315463685
1999,1,NE,NYJ,2,0.113094909421071,0.352299114952653,0.148102488294043,0.101043705335536,0.285459781996697,2,0.112960553958782,0.34954612877293,0.100819906967715,0.288409280812131,0.148264129488443,-0.137189166705861,-0.145728981536504
1999,1,NYG,TB,5,0.105922582018774,0.17415760257393,0.15428621786569,0.0896080690483548,0.476025528493251,4,0.105675379957826,0.171434371246716,0.0893262540146662,0.479285694923165,0.154278299857627,0.513359244995777,0.512223348556483
1999,1,OAK,GB,2,0.0882821087531195,0.564350308000622,0.105233949411401,0.0832956235680987,0.158838010266759,2,0.0910262246879454,0.55279927663111,0.0860682845098765,0.161943733228349,0.108162480942719,0.487162946579668,0.494588717363934
1999,1,PIT,CLE,4,0.290451490257245,0.0546384038948035,0.149966166221368,0.417715309070643,0.0872286305559406,3,0.290510610055672,0.0540257927161284,0.419892854376321,0.0864601394724082,0.14911060337947,0.218890547229633,0.219793517202096
1999,1,SF,JAX,1,0.341413487410057,0.0594756018361261,0.319063774927283,0.165179518661198,0.114867617165336,1,0.343736063895033,0.0590269880729123,0.165561572876664,0.11404292375013,0.317632451405261,0.181673037953741,0.18537965904011
1999,2,ARI,MIA,5,0.10626949036666,0.0996644563267014,0.182121660897631,0.0837150940824309,0.528229298326577,4,0.10708657118657,0.0998315737440318,0.0843658306611881,0.524944252869973,0.183771771538238,0.331686292171094,0.328808854225164
1999,2,ATL,DAL,4,0.195302805938938,0.0314422182080823,0.0866736806375926,0.636638631459634,0.0499426637557528,3,0.192750374727956,0.0310203794412111,0.641042386524792,0.0493816112304434,0.0858052480755979,0.393466441313385,0.395713477612335
1999,2,CLE,TEN,1,0.3820483638309,0.0444510737714586,0.141204962017815,0.358226278553968,0.0740693218258587,1,0.381921596202949,0.0440434864019615,0.360114602175162,0.0735130443999043,0.140407270820023,0.0501694329618381,0.0490008368489588
1999,2,DEN,KC,3,0.209694888643107,0.0588774936688165,0.475240256769636,0.124221926331938,0.131965434586502,5,0.209436511848163,0.0594828990652116,0.125316915940511,0.133785754178408,0.471977918967705,0.249669591803188,0.254719326463102
1999,2,GB,DET,1,0.408712367889781,0.0531234397295505,0.247992511517705,0.189788842483989,0.100382838378975,1,0.408527078124349,0.0529308036379536,0.190138272677581,0.100196607594895,0.248207237965221,0.353402512512355,0.352084657131256
1999,2,IND,NE,2,0.149871287664864,0.334703817414636,0.164715945518005,0.147211173107439,0.203497776295055,2,0.149360184941979,0.336182079664989,0.14654875783431,0.203538073259567,0.164370904299154,0.45784541330137,0.459582390281989
1999,2,JAX,CAR,2,0.105469315745366,0.406898938983975,0.135603390463209,0.0955324022680552,0.256495952539395,2,0.104857673641048,0.411268012951242,0.0950778633343696,0.254124805651104,0.134671644422237,-0.00576086227723821,0.00846169724161003
1999,2,NO,SF,2,0.108861747894891,0.482504288327715,0.12628046942602,0.104279018753682,0.178074475597692,2,0.108783329752773,0.482637258535421,0.104180309037951,0.178163619017063,0.126235483656793,0.540582900929196,0.541130106039723
1999,2,NYJ,BUF,3,0.267248468304253,0.0646984370735129,0.388409020294813,0.147758092481751,0.13188598184567,5,0.269495608298812,0.064347131542206,0.148349924339881,0.130977413747882,0.386829922071219,0.10629607617979,0.100709128551754
1999,2,OAK,MIN,5,0.120406006526377,0.193575766424182,0.173396662589482,0.10220024553968,0.410421318920279,4,0.119946848434128,0.191246536012927,0.101711558822035,0.41389207256121,0.1732029841697,0.448959519602002,0.450294587029323
1999,2,PIT,BAL,3,0.158025385984363,0.0876147559127701,0.370301693343984,0.110454486651704,0.273603678107179,5,0.158819462174028,0.0873734936746168,0.110974900299359,0.270658635351342,0.372173508500654,0.280756609680328,0.286095921357782
1999,2,SD,CIN,1,0.374100368510979,0.0569286637589951,0.184633315281534,0.288216187976262,0.0961214644722302,1,0.371287579099074,0.0572246623536621,0.288365301112765,0.0968865170682235,0.186235940366275,0.189481275772586,0.18385802675711
1999,2,SEA,CHI,2,0.120919704372172,0.436822275659751,0.138461712982117,0.116086419824845,0.187709887161114,2,0.121966522532528,0.432655941339139,0.117172711915166,0.188684411411685,0.139520412801481,0.574286980384397,0.572060983068375
1999,2,TB,PHI,1,0.438248730731209,0.0495404777307055,0.256018304107302,0.162759738838639,0.0934327485921441,1,0.441825302575267,0.0490858792592621,0.16301974138344,0.0925875181449413,0.25348155863709,0.383176344104936,0.387012958971408
1999,2,WAS,NYG,4,0.224419970245359,0.0628137387764402,0.142124369648954,0.476529602873375,0.0941123184558708,3,0.22490863367725,0.0626213710987081,0.475970826092522,0.0941054659458281,0.142393703185691,0.500913209298616,0.4999359418153
1999,3,ATL,STL,4,0.239734562766826,0.089684552894697,0.17761172641283,0.364217983427375,0.128751174498272,3,0.240116333099962,0.0891633886043961,0.364430928482542,0.12852700498638,0.17776234482672,0.377255114206714,0.376947356308466
1999,3,CHI,OAK,5,0.113489708991386,0.119517567378284,0.180136853297271,0.0926456286516489,0.494210241681411,4,0.112975368755861,0.118399331246327,0.0922200554935533,0.496715286279695,0.179689958224563,0.37416016738405,0.374470986744832
1999,3,CIN,CAR,4,0.229152946770329,0.0479419262560009,0.125352162990152,0.521816104001563,0.0757368599819564,3,0.229537086261985,0.0474925454397745,0.52270531069722,0.075258192077456,0.125006865523565,0.421352532909052,0.418823846618937
1999,3,CLE,BAL,1,0.49202245582102,0.0401018429213634,0.141056548332649,0.257859608079824,0.0689595448451436,1,0.492096007934074,0.0399049233260087,0.25836534173009,0.06874264069865,0.140891086311177,0.297659519367971,0.298361936329232
1999,3,DEN,TB,3,0.193747506241428,0.0680956561758878,0.453867526988441,0.121809231971978,0.162480078622266,5,0.195078678626786,0.0678455211190041,0.122540537244043,0.161347528865702,0.453187734144465,0.359940373719443,0.355858738201028
1999,3,DET,KC,1,0.560548301459587,0.0351957265443334,0.126524698646991,0.217236656698107,0.0604946166509813,1,0.559967458775163,0.0350808590251739,0.217933702873613,0.0604078820805129,0.126610097245537,0.371218954165946,0.371134835094461
1999,3,IND,SD,2,0.0771503576060773,0.61706044692896,0.092505343519983,0.0722972161922855,0.140986635752694,2,0.0757530037049188,0.622992069740412,0.070904479533568,0.13935008785295,0.0910003591681516,0.526581336775347,0.524065758891718
1999,3,MIN,GB,5,0.109994798983651,0.270962876501336,0.151683419011942,0.0952784923727815,0.372080413130289,4,0.109744217083153,0.284005076293719,0.0954993340409146,0.360383228278901,0.150368144303313,0.395879071334277,0.364491118672885
