Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,L_2 Cluster Probability_6,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5,H_1 Cluster Probability_6,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.182796231310764,0.284220098631123,0.125650270530566,0.148339629458614,0.126173245971065,0.132820524097868,2,0.183142207406356,0.285134203014468,0.125764101326125,0.148291930266896,0.125142990547733,0.132524567438423,0.428058471856288,0.428998336487958
1999,1,BUF,IND,5,0.0494353804173263,0.0317861424897812,0.159466182154615,0.0849993113729156,0.486517537367196,0.187795446198165,3,0.0490759054698972,0.0315848000959554,0.488206018184589,0.084308851425565,0.160269937928026,0.186554486895967,0.483038209448259,0.484123413803077
1999,1,CAR,NO,6,0.105346844668303,0.059308902400639,0.146493128823999,0.208883687023008,0.199440958335109,0.280526478748941,6,0.10420549660213,0.0587389964002406,0.199837281591917,0.207742771784866,0.146314246048294,0.283161207572551,0.188160569980834,0.191841888786023
1999,1,CIN,TEN,2,0.217308755920479,0.31553039803753,0.102283098064966,0.143450455851253,0.105053409398378,0.116373882727393,2,0.216174817988154,0.318779904740415,0.104575146586926,0.142773500606138,0.101910245409167,0.1157863846692,0.119917657621377,0.132620540857982
1999,1,DAL,WAS,2,0.170587851439354,0.434333266486465,0.0881909590512936,0.11807363665168,0.0902674135306056,0.0985468728406027,2,0.170756306597523,0.435820630832742,0.0897883773737768,0.117836219701228,0.0876812254630746,0.0981172400316559,0.510737791233896,0.510835862880877
1999,1,DET,SEA,3,0.057476029836525,0.0382261121450235,0.327456211111223,0.0907922396847734,0.327243384280722,0.158806022941734,5,0.0572470730151856,0.0380591161774495,0.327611949502325,0.0905144013363845,0.327693091138279,0.158874368830376,-0.0366961776713063,-0.037014652511576
1999,1,KC,CHI,6,0.0923358934645356,0.0550989462333361,0.175034256930901,0.166773958256451,0.241327788555942,0.269429156558834,6,0.0921092316122216,0.0549451363320264,0.240848708016135,0.166771689393683,0.174995162375244,0.27033007227069,0.00185226137987218,0.00649698687563323
1999,1,MIA,DEN,4,0.159755730601792,0.0892393203954887,0.131763995011168,0.250341884118645,0.160632209956051,0.208266859916856,4,0.159191743475801,0.0887379239458517,0.160345336990294,0.251541876006142,0.131444794817749,0.208738324764163,0.10481926662365,0.105881342709093
1999,1,MIN,ATL,6,0.0912012167622854,0.0503866560686533,0.117638545816321,0.206824115184026,0.184833617430889,0.349115848737825,6,0.090456159827103,0.0500969575890118,0.18523979197099,0.20486499973143,0.117939306170152,0.351402784711313,0.315233334492453,0.315404984928393
1999,1,NE,NYJ,1,0.323606700888667,0.244551489159567,0.0830759230337943,0.150906204901767,0.0905915512440729,0.107268130772132,1,0.329451465056873,0.2405361358565,0.0899165587419363,0.151006561309217,0.0823967310436167,0.106692547991856,0.34981996737594,0.361526936076972
1999,1,NYG,TB,1,0.514300604292639,0.108591495857229,0.0632148759249392,0.150386949030711,0.0721814517282865,0.0913246231661957,1,0.508797601879224,0.108322809459539,0.0729463410342137,0.153572513040833,0.0638543063370089,0.0925064282491806,0.427341778775884,0.419996525234715
1999,1,OAK,GB,2,0.158209959360944,0.525281066397575,0.0681061582946065,0.0985484631508133,0.0708463531117387,0.0790079996843217,2,0.159263571888972,0.518283568477899,0.0722624445788339,0.100134970440185,0.0696027271799728,0.0804527174341371,0.410194777404147,0.423342180997532
1999,1,PIT,CLE,3,0.0657051939529485,0.0447020565984207,0.332770165609815,0.100790883171037,0.291457894412715,0.164573806255064,5,0.0650395977063792,0.0442289954262255,0.292302220349754,0.099872538029042,0.334704976694969,0.163851671793631,0.0597454262438691,0.05934211569289
1999,1,SF,JAX,6,0.0755741523943143,0.0449868394673398,0.124597308950528,0.155228623874915,0.226932006636336,0.372681068676567,6,0.0748398165848234,0.0446403087372346,0.228216484947322,0.153295441863984,0.124972638016011,0.374035309850625,0.219159773070901,0.213793260964288
1999,2,ARI,MIA,4,0.294733562785789,0.0897569252702363,0.0817935538772723,0.296989221352897,0.0991143083666915,0.137612428347114,4,0.289312124250664,0.0894239831702608,0.0993904310710057,0.301546485642768,0.082052539438535,0.138274436426767,0.0954705273222979,0.10748134121479
1999,2,ATL,DAL,3,0.0451110556786154,0.0308301983112577,0.474803601979685,0.0691275635605038,0.263071394119309,0.117056186350629,5,0.0446034137510146,0.0304724728766675,0.25926483126053,0.0683644847968539,0.481378886742867,0.115915910572067,0.203627712185645,0.213205980680185
1999,2,CLE,TEN,5,0.0524614225038046,0.0346020930442894,0.252706818772,0.0854961162365979,0.413287482032859,0.161446067410449,3,0.0519506746136052,0.034277361974997,0.41459742497018,0.0846525982159458,0.25413725308232,0.160384687142952,0.267585261907028,0.266221238444595
1999,2,DEN,KC,6,0.0932470486408602,0.0500329143750948,0.10787207094872,0.245273929725786,0.164492692428255,0.339081343881285,6,0.0940925101008268,0.0505077482844417,0.164752926752272,0.24661951018847,0.108944464014658,0.335082840659332,0.253749554480244,0.245556646100024
1999,2,GB,DET,6,0.0693777990078801,0.0416611766627994,0.146610365397015,0.133303077393554,0.28227721356114,0.326770367977612,6,0.0691060514842125,0.0415380925547896,0.282507335719319,0.132726710960954,0.147202957134505,0.326918852146221,-0.0515644135356758,-0.0510538679717551
