Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.191468330858772,0.372926658093266,0.236628287553454,0.198976723494508,2,0.190870442396038,0.373845318874509,0.198627830018572,0.236656408710881,0.41871298674507,0.419569116670749
1999,1,BUF,IND,4,0.368555829918633,0.0613730670231521,0.125504812433563,0.444566290624651,3,0.37150650395625,0.0612081451813949,0.442097066306664,0.125188284555692,0.0726962868592537,0.0618191805898703
1999,1,CAR,NO,4,0.242536066820412,0.102403838711745,0.262573174754613,0.39248691971323,3,0.242137467216555,0.101386975311065,0.395608190621979,0.2608673668504,0.307493373141529,0.311700176552062
1999,1,CIN,TEN,2,0.146965330557909,0.46861545313027,0.223907018130175,0.160512198181645,2,0.146712158621859,0.470134318511341,0.160129644523118,0.223023878343682,0.354485953740971,0.362587187383618
1999,1,DAL,WAS,2,0.142601501115575,0.498553478233366,0.20495847320528,0.153886547445779,2,0.1420478608715,0.499688203387733,0.153472583400634,0.204791352340133,0.54148655644878,0.541999360377353
1999,1,DET,SEA,1,0.58630627875094,0.0556482723622924,0.104885048074046,0.253160400812722,1,0.585675229878566,0.0555685440636975,0.253796239650188,0.104959986407548,0.404381075923512,0.40436404852127
1999,1,KC,CHI,4,0.288826771060191,0.0918685507982016,0.208738276419079,0.410566401722529,3,0.28817893605081,0.0916140801388991,0.41130344242053,0.20890354138976,0.196290751243919,0.19775295936858
1999,1,MIA,DEN,3,0.208057414165253,0.154156222937077,0.351211519369435,0.286574843528236,4,0.207473635677232,0.153394507620098,0.286871122814262,0.352260733888407,0.0641463031259537,0.0641892285283162
1999,1,MIN,ATL,4,0.206851657688324,0.0899736341474382,0.250700263492919,0.452474444671318,3,0.206959961114495,0.0893488568099765,0.454893522857424,0.248797659218104,0.413185042427957,0.417694413498297
1999,1,NE,NYJ,2,0.117706078349233,0.50040791455679,0.241805816180695,0.140080190913282,2,0.117595651062424,0.498433718912219,0.14026935216906,0.243701277856298,0.168754836223289,0.16210704198997
1999,1,NYG,TB,3,0.13394255090908,0.303437782124894,0.390808819044519,0.171810847921508,4,0.133959620338798,0.298934275027928,0.172236626263122,0.394869478370152,0.360617458701295,0.370039846930367
1999,1,OAK,GB,2,0.109753134380622,0.596055852328583,0.172709202182604,0.121481811108191,2,0.113266513082706,0.58481160524527,0.125097993051616,0.176823888620408,0.536039434873284,0.538312508531849
1999,1,PIT,CLE,1,0.536037019487348,0.0689379490470911,0.125096105288889,0.269928926176672,1,0.539369316725105,0.0681472457195322,0.268567157830842,0.123916279724521,0.40894360020068,0.412121377957978
1999,1,SF,JAX,4,0.211835493332266,0.0742552849011241,0.18114648917385,0.53276273259276,3,0.211686318708423,0.0734212421913759,0.536068193670272,0.178824245429929,0.472969644418682,0.472855499259667
1999,2,ARI,MIA,3,0.113290565029838,0.148159607265044,0.577784418294587,0.160765409410532,4,0.112866735404952,0.146609321774938,0.16043248212514,0.580091460694969,0.51104529826701,0.510201746713214
1999,2,ATL,DAL,1,0.801518385410276,0.02849337949712,0.0514444829993983,0.118543752093206,1,0.800874846827757,0.0285756849767182,0.118876795216406,0.0516726729791194,0.563673088551182,0.564883825218602
1999,2,CLE,TEN,1,0.538769074837582,0.0558466778553111,0.10810999211985,0.297274255187257,1,0.542718785456582,0.0552778834332977,0.294901288322441,0.10710204278768,0.313522524514107,0.319189414933149
1999,2,DEN,KC,4,0.194092117324366,0.0928352369453887,0.28896971425105,0.424102931479195,3,0.194824388604659,0.0934221835635835,0.420465026705051,0.291288401126707,0.33625781587246,0.32973621301264
1999,2,GB,DET,4,0.243984455737093,0.0652573459874583,0.151993517401893,0.538764680873556,3,0.244370238372919,0.0650133111421415,0.53906225335427,0.15155419713067,0.334131102404331,0.332080052265987
1999,2,IND,NE,2,0.185501109230737,0.386851808592035,0.233881387808647,0.193765694368582,2,0.184683958114825,0.388286438491647,0.193229925649833,0.233799677743695,0.448600185795573,0.450362214598654
