Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,L_2 Cluster Probability_6,L_2 Cluster Probability_7,L_2 Cluster Probability_8,L_2 Cluster Probability_9,L_2 Cluster Probability_10,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5,H_1 Cluster Probability_6,H_1 Cluster Probability_7,H_1 Cluster Probability_8,H_1 Cluster Probability_9,H_1 Cluster Probability_10
1999,1,ARI,PHI,2,0.133359791018608,0.211643741295996,0.105922369787049,0.0749724806064357,0.0791956294688482,0.0920313673102565,0.0830796817893053,0.0737288631575616,0.0725828709106772,0.0734832046552626,2,0.133506439786317,0.212687907864716,0.0747917397908322,0.106103279535936,0.0731678009178926,0.0830168475322026,0.0734748878537731,0.0723314010592636,0.0919534945611141,0.0789662010979527
1999,1,BUF,IND,8,0.0224365592011468,0.0168385162087934,0.0298918084478972,0.202934256956837,0.0865245449002343,0.0406501533012857,0.0617920070134004,0.296891068115505,0.16240593196952,0.0796351538853802,7,0.0223668845885236,0.0167545473802008,0.200524083433113,0.0297338253048378,0.0801878703571645,0.061323162219081,0.2980954284358,0.163570383197902,0.0405610707057667,0.0868827443776119
1999,1,CAR,NO,5,0.0434328962716662,0.0302636259659728,0.0633290104784108,0.144234139236009,0.170799840418088,0.0947918507174804,0.148336369652541,0.123777028120888,0.099358125612461,0.0816771135264812,10,0.0430549469748734,0.0299396824065383,0.14536477595073,0.0626151580963464,0.0815013395426836,0.147937186510028,0.123688481951934,0.0993464148427186,0.0943335615588748,0.172218452165273
1999,1,CIN,TEN,1,0.191085646528091,0.156333867809121,0.133247735122516,0.0680625013848697,0.0755827042423571,0.100438397150833,0.0826577855738177,0.0657379698621297,0.0633432275713972,0.0635101647548679,1,0.190746244470997,0.159117818229957,0.0678826646851233,0.132708509649381,0.0633891954890865,0.0824034811876377,0.0654961466247299,0.063198857204134,0.0998949462630429,0.0751621361959102
1999,1,DAL,WAS,2,0.151494679678333,0.353869186180234,0.0956384724011496,0.0529415443117485,0.0579557773516494,0.0743819146916606,0.0626179923803483,0.051388202172736,0.049789266607526,0.0499229642246138,2,0.151532700911527,0.354998661022309,0.0527741458806006,0.0958121128464472,0.0496847455341491,0.0625314101182344,0.0511535223517926,0.0495823968148199,0.0742334782809861,0.0576968262391336
1999,1,DET,SEA,9,0.0266327203466678,0.020259369630464,0.0345764394986343,0.132879501411782,0.079970557071661,0.0449891486310625,0.0630343575859192,0.183337969480569,0.261001072068044,0.153318864275197,8,0.0265365962801388,0.0201371704018837,0.132542966442446,0.0344102143501099,0.153662697005045,0.0627558634270738,0.184296074907695,0.260382424592476,0.0449327330805222,0.0803432595126104
1999,1,KC,CHI,4,0.0398862867447996,0.0285233925767884,0.0556928261872581,0.163424005763089,0.147672782719903,0.0783448241262111,0.118834220221873,0.149743745046197,0.121513530358667,0.0963643862552135,3,0.0398191151889875,0.0283978008801649,0.16364104165132,0.0555168510125641,0.0963551182659404,0.118726932555387,0.149039873977684,0.121296569343851,0.0785217234892199,0.148684973634881
1999,1,MIA,DEN,7,0.0662928989001524,0.0453202963362113,0.0964582518232232,0.109098395705713,0.136119461707546,0.134106000316616,0.151237262969009,0.0990001522206519,0.0860154013259851,0.0763518786948925,6,0.0660890747471625,0.0450133969119322,0.109251429513788,0.0961408996013081,0.0761438175987048,0.15224454145356,0.0986615579027569,0.0858330657557552,0.134462689905472,0.13615952660956
1999,1,MIN,ATL,5,0.0369343900814232,0.0255983472539656,0.0547055725834222,0.150423093540678,0.218646158421074,0.0857887993788687,0.162575247228675,0.116248875405202,0.0848105142718522,0.0642690018348395,10,0.0367714796487319,0.0254423489547792,0.151628684254017,0.0542675130926782,0.0644459163220457,0.161007266253378,0.116088347795291,0.0850163729189966,0.085521910648811,0.219810160111272
1999,1,NE,NYJ,1,0.242394854909597,0.0973794826065309,0.188477990264783,0.0579990861081488,0.068686196246749,0.111284864501351,0.0794655748429084,0.0546533124222705,0.050837811463939,0.0488208266337221,1,0.242491587873459,0.0958156926576787,0.0577100118813654,0.191815515284491,0.0484414341233483,0.0794324999943274,0.054233749761036,0.0504814081437126,0.111365847436472,0.0682122528441101
1999,1,NYG,TB,3,0.118335822935046,0.053029112423538,0.347215438535079,0.0530352973273127,0.0671641573418311,0.144860393753476,0.0825660242904933,0.0487762044864401,0.0440494168189459,0.0409681320878373,4,0.117285605780157,0.0528130222234403,0.0535076402100538,0.34330290142041,0.0412190318574753,0.0837686010308506,0.0490451941399906,0.0443410912411439,0.14715743921548,0.0675594728809985
1999,1,OAK,GB,2,0.217093490169469,0.25951832103814,0.112877582742051,0.0535613991012884,0.0598275191473371,0.0813141145866778,0.0657490578458666,0.051581339734962,0.0494444925723941,0.0490326830618139,2,0.208092582257532,0.270556723566901,0.0536000028549899,0.111472430236007,0.0491921492562849,0.065630764269668,0.051586510578418,0.0495478610465389,0.0806980216450655,0.0596229542885951
1999,1,PIT,CLE,9,0.0313307574495545,0.0241558724984177,0.0400792718887409,0.130983880930222,0.0862911942579666,0.051392535409568,0.0701235914454475,0.168159001337135,0.224842698658409,0.172641196124539,8,0.0310183779240995,0.0238573240566876,0.130362663333446,0.0396359993894746,0.173135155783912,0.0694139430204238,0.168921940119135,0.226536264586413,0.0509827931468349,0.086135538639574
