Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,L_2 Cluster Probability_5,L_2 Cluster Probability_6,L_2 Cluster Probability_7,L_2 Cluster Probability_8,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,H_1 Cluster Probability_5,H_1 Cluster Probability_6,H_1 Cluster Probability_7,H_1 Cluster Probability_8,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.15345984382808,0.2392098496218,0.0941867028518659,0.12181506443807,0.106930631782408,0.0929116584547192,0.0922619704601537,0.0992242785629036,2,0.153726849596779,0.239435272146769,0.0920898193141313,0.107011944646263,0.0940616280741982,0.09911163657027,0.0926660552012573,0.121896794450332,0.437956316138966,0.438540980716589
1999,1,BUF,IND,3,0.0322467077451604,0.0230873537200204,0.322199430759814,0.0471107304025273,0.0739385835354935,0.109984582434181,0.265929768451991,0.125502842950813,5,0.0321230376927876,0.0229959812533535,0.267238291840379,0.073401779865181,0.321130722499602,0.125577265296136,0.110556467897502,0.0469764536550597,0.0387720167465145,0.0318732813681462
1999,1,CAR,NO,8,0.0619969562094865,0.0404995347285963,0.169386672266671,0.102410626674499,0.173865551203702,0.104806911500349,0.132683944013718,0.214349803402979,6,0.061503390507769,0.0401799672953531,0.132624087624245,0.173265271863087,0.169992360004111,0.216004286217815,0.104546274095058,0.101884362392561,0.111166171056676,0.113958873329211
1999,1,CIN,TEN,2,0.211112948947544,0.215762977551802,0.0828333764063155,0.135512984533485,0.105494529162586,0.0785582459341392,0.0791042078637983,0.0916207296003307,2,0.209469627347815,0.220247643199789,0.0788301781079585,0.105028942451633,0.082499534187236,0.0910996035119525,0.0783361074393966,0.134488363754219,-0.133165100934585,-0.117121211392913
1999,1,DAL,WAS,2,0.155709467905495,0.400231617795773,0.0655297118932769,0.100763021043834,0.0806989021445495,0.0626225163916039,0.0629861979119905,0.0714585649134768,2,0.155754441670656,0.400792534862706,0.0628427956958729,0.080731227384699,0.0654046884434474,0.0713068416262247,0.0624484366448807,0.100719033671513,0.445618364491822,0.445660979989746
1999,1,DET,SEA,7,0.0364552678263537,0.0266040081800963,0.184175074792839,0.0509355974928105,0.0738166767308484,0.207555461868566,0.313187065666492,0.107270847441993,3,0.0363617188928787,0.0265137409087361,0.312541141344856,0.0735815990887889,0.184649311340469,0.107648736214727,0.207806152650492,0.050897599559053,0.279744428950667,0.278397841257829
1999,1,KC,CHI,3,0.0563414045603133,0.0380902247931473,0.197807130191634,0.0867846764193816,0.139128690746153,0.12462816088127,0.163124660804574,0.194095051603527,5,0.0562928545744398,0.0380222113886316,0.162590638862905,0.139106234302641,0.197542780834138,0.1949921969232,0.12449432071953,0.0869587623945147,0.0617521660623949,0.0583489600361319
1999,1,MIA,DEN,5,0.0945114807647881,0.0607406810542944,0.13079636853984,0.151192406167044,0.190094344754025,0.0965744437968786,0.111960300093339,0.164129974829791,4,0.0943171801235964,0.0604919662500036,0.111613915793574,0.191113339845176,0.130573674032337,0.164094376900606,0.0962379419836071,0.151557605071101,0.112242204158745,0.115168413871724
1999,1,MIN,ATL,8,0.052787370738333,0.0341514683276266,0.169085252909466,0.0901909674351444,0.18103682153854,0.0826516852390035,0.115496976898401,0.274599456913485,6,0.0526014060891924,0.0340460455929138,0.115702617938344,0.179565265940482,0.169514330032132,0.275731182939323,0.0828563286433056,0.0899828228243062,0.208582704265313,0.208340709014268
1999,1,NE,NYJ,1,0.329470831414603,0.138535860505093,0.0686948242633714,0.158373303086551,0.101537172638005,0.0595878006859975,0.0630274092051823,0.0807727982011972,1,0.333800923898293,0.136951657533143,0.0624469902226556,0.101267759414667,0.0681124597409419,0.0800950173870611,0.05900126329954,0.158323928503699,0.369321698106601,0.370583573644242
